UPC: 881314134236, BASE TOTAL COST: 17.4, BASE DOLLAR ROI: 0.6, BASE PERCENT ROI: 3, GCG TOTAL COST: 17.06, GCG DOLLAR ROI: 0.94, GCG PERCENT ROI: 6
UPC: 094325006977, BASE TOTAL COST: 185.84, BASE DOLLAR ROI: 65.79, BASE PERCENT ROI: 35, GCG TOTAL COST: 182.71, GCG DOLLAR ROI: 68.92, GCG PERCENT ROI: 38
UPC: 095385799373, BASE TOTAL COST: 353.38, BASE DOLLAR ROI: 146.61, BASE PERCENT ROI: 41, GCG TOTAL COST: 346.95, GCG DOLLAR ROI: 153.04, GCG PERCENT ROI: 44
UPC: 029986321527, BASE TOTAL COST: 68.44, BASE DOLLAR ROI: 7.56, BASE PERCENT ROI: 11, GCG TOTAL COST: 67.4, GCG DOLLAR ROI: 8.6, GCG PERCENT ROI: 13
UPC: 796995069480, BASE TOTAL COST: 269.82, BASE DOLLAR ROI: 666.18, BASE PERCENT ROI: 247, GCG TOTAL COST: 265.31, GCG DOLLAR ROI: 670.69, GCG PERCENT ROI: 253
UPC: 796995069497, BASE TOTAL COST: 320.65, BASE DOLLAR ROI: 999.35, BASE PERCENT ROI: 312, GCG TOTAL COST: 315.13, GCG DOLLAR ROI: 1004.87, GCG PERCENT ROI: 319
UPC: 840412056741, BASE TOTAL COST: 199.74, BASE DOLLAR ROI: 69.26, BASE PERCENT ROI: 35, GCG TOTAL COST: 196.29, GCG DOLLAR ROI: 72.71, GCG PERCENT ROI: 37
UPC: 848971016107, BASE TOTAL COST: 46.01, BASE DOLLAR ROI: -18.02, BASE PERCENT ROI: -39, GCG TOTAL COST: 45.12, GCG DOLLAR ROI: -17.13, GCG PERCENT ROI: -38
UPC: 848971016398, BASE TOTAL COST: 43.89, BASE DOLLAR ROI: 8.1, BASE PERCENT ROI: 18, GCG TOTAL COST: 43.04, GCG DOLLAR ROI: 8.95, GCG PERCENT ROI: 21
UPC: 848971016053, BASE TOTAL COST: 46.51, BASE DOLLAR ROI: -18.52, BASE PERCENT ROI: -40, GCG TOTAL COST: 45.62, GCG DOLLAR ROI: -17.63, GCG PERCENT ROI: -39
UPC: 848971015513, BASE TOTAL COST: 44.02, BASE DOLLAR ROI: -10.03, BASE PERCENT ROI: -23, GCG TOTAL COST: 43.18, GCG DOLLAR ROI: -9.19, GCG PERCENT ROI: -21
UPC: 848971030837, BASE TOTAL COST: 22.32, BASE DOLLAR ROI: 27.67, BASE PERCENT ROI: 124, GCG TOTAL COST: 21.9, GCG DOLLAR ROI: 28.09, GCG PERCENT ROI: 128
UPC: 848971015599, BASE TOTAL COST: 69.27, BASE DOLLAR ROI: -27.28, BASE PERCENT ROI: -39, GCG TOTAL COST: 67.93, GCG DOLLAR ROI: -25.94, GCG PERCENT ROI: -38
UPC: 848971015735, BASE TOTAL COST: 79.31, BASE DOLLAR ROI: -27.32, BASE PERCENT ROI: -34, GCG TOTAL COST: 77.78, GCG DOLLAR ROI: -25.79, GCG PERCENT ROI: -33
UPC: 848971015896, BASE TOTAL COST: 59.73, BASE DOLLAR ROI: -17.74, BASE PERCENT ROI: -30, GCG TOTAL COST: 58.59, GCG DOLLAR ROI: -16.6, GCG PERCENT ROI: -28
UPC: 848971015469, BASE TOTAL COST: 46.51, BASE DOLLAR ROI: -12.52, BASE PERCENT ROI: -27, GCG TOTAL COST: 45.62, GCG DOLLAR ROI: -11.63, GCG PERCENT ROI: -25
UPC: 848971015797, BASE TOTAL COST: 79.31, BASE DOLLAR ROI: -31.32, BASE PERCENT ROI: -39, GCG TOTAL COST: 77.78, GCG DOLLAR ROI: -29.79, GCG PERCENT ROI: -38
